timestamp,metric,value,anomaly
2024-09-09,steps,6062.0,-1
2024-09-11,steps,10954.0,-1
2024-10-22,steps,10951.0,-1
2024-10-28,steps,10933.0,-1
2024-12-13,steps,6073.0,-1
2024-12-26,steps,6114.0,-1
2025-01-31,steps,5962.0,-1
2025-02-22,steps,10941.0,-1
2025-02-26,steps,6051.0,-1
2025-03-10,steps,5920.0,-1
2025-03-11,steps,10958.0,-1
2025-04-29,steps,11003.0,-1
2025-05-29,steps,10999.0,-1
2025-06-05,steps,10895.0,-1
2025-06-21,steps,5997.0,-1
2025-07-08,steps,5851.0,-1
2025-07-09,steps,11026.0,-1
2025-08-25,steps,6039.0,-1
2025-08-27,steps,6024.0,-1
2025-08-29,steps,11078.0,-1
2025-09-02,steps,6058.0,-1
2025-09-04,steps,5954.0,-1
2024-09-29,steps,10910.0,-1
2024-11-22,steps,6036.0,-1
2024-12-02,steps,6023.0,-1
2025-01-04,steps,6040.0,-1
2025-01-30,steps,6103.0,-1
2025-03-17,steps,10981.0,-1
2025-04-02,steps,10960.0,-1
2025-04-25,steps,11057.0,-1
2025-05-04,steps,10953.0,-1
2025-05-06,steps,6037.0,-1
2025-05-10,steps,10879.0,-1
2025-06-04,steps,10972.0,-1
2025-06-17,steps,10879.0,-1
2025-07-26,steps,6079.0,-1
2025-08-21,steps,6014.0,-1
2025-08-27,steps,11003.0,-1
2024-10-01,steps,10903.0,-1
2024-10-14,steps,10892.0,-1
2024-10-16,steps,6052.0,-1
2024-10-19,steps,11068.0,-1
2024-11-13,steps,10926.0,-1
2024-11-16,steps,6005.0,-1
2024-12-10,steps,11007.0,-1
2025-01-03,steps,10918.0,-1
2025-01-07,steps,10946.0,-1
2025-01-10,steps,5854.0,-1
2025-01-18,steps,10944.0,-1
2025-01-31,steps,10921.0,-1
2025-03-12,steps,10966.0,-1
2025-03-19,steps,11135.0,-1
2025-04-26,steps,6059.0,-1
2025-04-27,steps,10953.0,-1
2025-06-12,steps,11057.0,-1
2025-06-21,steps,5973.0,-1
2025-06-22,steps,6063.0,-1
2025-06-24,steps,11000.0,-1
2025-07-07,steps,11019.0,-1
2025-07-10,steps,10892.0,-1
2025-07-24,steps,6022.0,-1
2025-08-08,steps,11002.0,-1
2025-08-25,steps,10941.0,-1
2025-08-26,steps,11026.0,-1
2025-08-29,steps,6040.0,-1
2025-08-31,steps,6011.0,-1
2025-09-02,steps,6076.0,-1
2024-10-04,steps,5928.0,-1
2024-10-07,steps,10889.0,-1
2024-10-12,steps,5883.0,-1
2024-11-19,steps,11023.0,-1
2024-11-26,steps,10944.0,-1
2024-12-11,steps,10899.0,-1
2025-02-05,steps,6085.0,-1
2025-02-06,steps,6079.0,-1
2025-02-08,steps,6055.0,-1
2025-02-11,steps,10947.0,-1
2025-02-21,steps,6119.0,-1
2025-03-03,steps,10900.0,-1
2025-03-16,steps,10917.0,-1
2025-03-22,steps,10997.0,-1
2025-05-03,steps,10953.0,-1
2025-06-11,steps,6088.0,-1
2025-07-11,steps,10930.0,-1
2025-07-18,steps,5988.0,-1
2025-07-26,steps,6101.0,-1
2025-08-17,steps,11147.0,-1
2025-09-04,steps,10922.0,-1
2024-09-11,steps,5826.0,-1
2024-09-12,steps,10896.0,-1
2024-09-15,steps,11028.0,-1
2024-09-22,steps,6007.0,-1
2024-09-26,steps,5974.0,-1
2024-09-27,steps,11032.0,-1
2024-11-05,steps,6110.0,-1
2024-11-23,steps,10885.0,-1
2024-11-29,steps,6109.0,-1
2024-12-12,steps,6086.0,-1
2024-12-24,steps,10898.0,-1
2025-02-03,steps,6104.0,-1
2025-02-12,steps,11176.0,-1
2025-02-25,steps,6066.0,-1
2025-04-08,steps,10882.0,-1
2025-04-30,steps,5942.0,-1
2025-05-04,steps,10967.0,-1
2025-05-06,steps,6073.0,-1
2025-05-07,steps,10999.0,-1
2025-05-14,steps,6054.0,-1
2025-06-19,steps,6077.0,-1
2025-07-11,steps,5981.0,-1
2025-08-23,steps,5998.0,-1
2024-10-05,steps,6007.0,-1
2024-11-20,steps,6022.0,-1
2025-01-05,steps,11079.0,-1
2025-01-10,steps,6042.0,-1
2025-02-08,steps,6073.0,-1
2025-02-15,steps,6063.0,-1
2025-03-25,steps,11076.0,-1
2025-03-26,steps,10896.0,-1
2025-04-04,steps,6113.0,-1
2025-04-22,steps,5985.0,-1
2025-05-05,steps,6029.0,-1
2025-06-18,steps,10908.0,-1
2025-07-07,steps,6105.0,-1
2025-07-25,steps,6092.0,-1
2025-08-14,steps,10908.0,-1
2025-08-16,steps,6113.0,-1
2025-08-20,steps,6035.0,-1
2025-09-02,steps,6001.0,-1
2024-12-19,steps,10891.0,-1
2024-12-30,steps,6110.0,-1
2025-01-14,steps,11100.0,-1
2025-03-08,steps,6040.0,-1
2025-03-15,steps,10943.0,-1
2025-03-21,steps,6039.0,-1
2025-03-27,steps,6095.0,-1
2025-03-31,steps,10914.0,-1
2025-04-14,steps,10907.0,-1
2025-04-15,steps,6103.0,-1
2025-05-28,steps,11048.0,-1
2025-05-29,steps,10890.0,-1
2025-06-09,steps,11064.0,-1
2025-08-08,steps,6033.0,-1
2025-08-20,steps,10894.0,-1
2024-09-11,steps,10954.0,-1
2024-09-25,steps,10963.0,-1
2024-11-20,steps,6027.0,-1
2024-12-10,steps,6019.0,-1
2024-12-22,steps,10952.0,-1
